campaign_id,campaign_name,date_sent,subject_line,platform,country,recipient_count,delivered_count,opened_count,clicked_count,bounced_count,unsubscribe_count,spam_report_count,conversions
campaign_2,Campaign 2 - Brother Promotion,2024-08-01,Your Feedback Matters,GAds,United Kingdom,49368,35694,21778,14918,257,369,30,983
campaign_18,Campaign 18 - Almost Promotion,2024-08-01,Welcome to Our Newsletter,Google Ads,India,25670,7756,1289,942,878,97,197,495
campaign_43,Campaign 43 - Save Promotion,2024-08-01,New Arrivals Available Now,FB Ads,France,7461,5927,5007,529,799,184,97,55
campaign_24,Campaign 24 - Play Promotion,2024-08-01,Unlock Your Premium Features,LinkedIn Ads,France,8339,2404,2390,366,479,334,97,832
campaign_38,Campaign 38 - True Promotion,2024-08-01,Your Feedback Matters,LinkedIn Ads,China,91308,22793,308,300,221,454,22,244
campaign_32,Campaign 32 - Kind Promotion,2024-08-01,New Arrivals Available Now,LinkedIn Ads,France,41086,6826,2663,812,207,362,86,927
campaign_19,Campaign 19 - All Promotion,2024-08-01,Welcome to Our Newsletter,Instagram Ads,China,43636,4733,908,472,264,423,13,780
campaign_35,Campaign 35 - Perform Promotion,2024-08-01,Thank You for Being a Loyal Customer,LinkedIn Ads,Canada,94796,13221,12372,9939,35,282,115,430
campaign_5,Campaign 5 - Face Promotion,2024-08-01,Special Invitation: Join Us Today,Instagram Ads,Australia,33512,-13468,-341,-507,976,298,2,378
campaign_22,Campaign 22 - Early Promotion,2024-08-01,Your Feedback Matters,Email Campaign,France,59495,32499,7993,1446,675,54,183,961
campaign_9,Campaign 9 - Since Promotion,2024-08-01,New Arrivals Available Now,Insta Ads,China,60839,26178,15771,10680,170,356,40,943
campaign_41,Campaign 41 - Sure Promotion,2024-08-01,Unlock Your Premium Features,Instagram Ads,Germany,73449,4075,3241,2174,681,402,89,338
campaign_12,Campaign 12 - Sit Promotion,2024-08-01,Limited Time Discount Inside,FB Ads,Brazil,82937,47498,46062,7088,238,285,193,923
campaign_33,Campaign 33 - Discussion Promotion,2024-08-01,New Arrivals Available Now,Insta Ads,China,85305,42884,13078,10311,445,251,26,505
campaign_29,Campaign 29 - Rate Promotion,2024-08-01,Last Chance to Save Big!,Google Ads,Germany,7840,7512,5546,2528,120,201,98,373
campaign_4,Campaign 4 - Site Promotion,2024-09-01,Don't Miss Out on Our Summer Sale,FB Ads,Japan,86990,52274,46554,20338,658,416,179,766
campaign_5,Campaign 5 - Face Promotion,2024-09-01,Thank You for Being a Loyal Customer,Google Ads,United States,21701,16487,6635,2403,661,393,146,766
campaign_20,Campaign 20 - Better Promotion,2024-09-01,Last Chance to Save Big!,GAds,Australia,22270,2282,115,79,218,376,84,394
campaign_23,Campaign 23 - Mouth Promotion,2024-09-01,Exclusive Offer Just for You!,Email Campaign,United States,35838,32951,8451,6601,945,422,28,821
campaign_35,Campaign 35 - Perform Promotion,2024-09-01,Limited Time Discount Inside,FB Ads,United States,52216,11730,7967,2387,683,127,27,883
campaign_35,Campaign 35 - Perform Promotion,2024-09-01,Special Invitation: Join Us Today,Facebook Ads,Canada,64733,26282,21526,12394,187,443,126,465
campaign_37,Campaign 37 - Table Promotion,2024-09-01,Last Chance to Save Big!,GAds,France,68763,58361,28503,1234,561,289,39,396
campaign_44,Campaign 44 - Knowledge Promotion,2024-10-01,Thank You for Being a Loyal Customer,,Canada,17581,3750,3709,1518,986,295,47,319
campaign_48,Campaign 48 - Dinner Promotion,2024-10-01,Don't Miss Out on Our Summer Sale,Email Campaign,India,54248,39832,18298,17313,164,101,140,-234
campaign_36,Campaign 36 - Fall Promotion,2024-10-01,Limited Time Discount Inside,FB Ads,Australia,54941,40074,12443,2331,704,351,182,338
campaign_25,Campaign 25 - Agreement Promotion,2024-10-01,New Arrivals Available Now,Insta Ads,Brazil,28810,4272,712,711,774,416,50,515
campaign_26,Campaign 26 - Option Promotion,2024-10-01,Your Feedback Matters,Instagram Ads,Brazil,1780,1681,1042,136,849,54,24,589
campaign_6,Campaign 6 - Election Promotion,2024-10-01,Limited Time Discount Inside,,Brazil,77550,55632,12957,6273,251,335,86,851
campaign_8,Campaign 8 - Pm Blitz,2024-10-01,Super Sale! Unbeatable Prices Inside!,Instagram Ads,Japan,946980,161725,298492,10824,3725,262,156,5012
campaign_36,Campaign 36 - Fall Promotion,2024-10-01,Limited Time Discount Inside,Google Ads,Australia,46243,2243,1924,233,356,187,66,182
campaign_8,Campaign 8 - Chair Promotion,2024-10-01,Limited Time Discount Inside,Email Campaign,France,24010,3857,2564,2206,339,103,87,950
campaign_43,Campaign 43 - Save Promotion,2024-10-01,Special Invitation: Join Us Today,Email Campaign,Canada,98979,68505,34007,2791,979,1,118,158
campaign_45,Campaign 45 - Grow Promotion,2024-10-01,Welcome to Our Newsletter,Insta Ads,United States,52805,16646,5971,5737,378,95,118,921
campaign_10,Campaign 10 - Blue Promotion,2024-10-01,Thank You for Being a Loyal Customer,FB Ads,China,90714,18025,16094,6788,64,160,-173,771
campaign_28,Campaign 28 - Blue Blitz,2024-08-02,Super Sale! Unbeatable Prices Inside!,Insta Ads,Australia,152701,587959,56291,29570,4474,408,229,3782
